ID,adult_mass
28,251.5
29,140
30,345
31,142
32,203.5
33,332.94
34,159.375
35,345
36,138.5
37,180
38,332.94
39,452
40,156
41,138.5
42,107
43,453.5
44,135.25
45,988.75
46,255.5
47,118.75
48,675
49,240.5
50,332.94
51,1050
52,342.75
53,237.75
54,213.75
55,182
56,269
57,701.8833333
58,815
59,84.05
60,332.94
61,212
62,479.5833333
63,199.1666667
64,225
65,1369.41
66,332.94
67,188.5
68,209
69,198
70,161
71,138.5
72,73.9
73,298.5
74,298.5
75,146.25
76,276
77,138.5
78,113.5
180,9625
783,3262
784,1060.125
785,3466
786,4383
787,2000
788,3060
789,3262
790,2534.5
791,2347
792,1413.833333
793,4195
1080,275.75
1081,363
1082,196
1083,292
1084,328
1291,614
1292,402
1293,338
1294,335
1295,325
1296,495
1297,757
1298,1062.333333
1299,1060.666667
1300,670
1301,990.5
1302,511
1303,495
1304,878.25
1305,878.25
1306,1163.333333
1307,1342.5
1308,1126
1309,878.25
1310,945.5
1311,616
1312,510.5833333
1313,700
1314,510.5833333
1315,437
1316,1469.5
1317,866.4
1318,1174.5
1319,1062.333333
1320,1174.5
1321,505
1322,969.57
1323,700
1324,1210
1325,693.25
1326,996
1327,2950
1328,945
1329,595.5
1330,808
1331,1000
1332,3000
1333,1230
1679,1776
1680,1046
1681,1344
1951,110
2067,288.75
2068,288.75
2235,1717.25
2236,1115
2237,2048
2238,1021.5
2239,1717.25
2240,1717.25
2241,697
2242,607
2243,752.5
2244,521.25
2245,519.5
2246,468.5
2247,436.5
2248,436.5
2249,655.75
2250,383.5
2251,655.75
2252,532
2253,375
2254,315.5
2255,494.5
2256,562.25
2257,562.25
2325,1934.65
2326,1431.666667
2327,1431.666667
2576,2080.5
2780,482
3334,442.625
3335,265.5
3336,248
3337,311.65
3338,315.8
3512,575
3513,937.5
3684,1790
3917,92.9
4031,889
4032,2433.75
4033,880
4034,303
4198,8800
4215,5606.041667
4216,1600
4217,5442.5
4218,4871
4219,7862
4220,7436
4221,10000
4222,5705
4223,7400
4224,5705
4261,4793
4262,782.25
4263,2037.5
4264,4740
4265,2751.5
4266,2807.5
4267,7224.75
4268,2190
4269,2806.5
4270,3000
4271,529
4272,755
4274,1196
4296,198.5
4297,200
4298,4800
4299,2000
4317,424.5
4398,730
4399,588.5
4444,860.75
4445,791
4446,842
4447,787
4448,791
4671,1027.75
4672,281
4673,245.25
4763,278
5012,474
5013,576
5076,322.5
5077,312.5
5078,287.5
5192,1179.125
5202,585.5
5232,815.5
5315,650
5494,1000
5597,636
5598,758.5
5599,636
5735,160.875
5750,828.5
5751,828.5
5752,1090
5860,1000
5861,1750
6170,2075
6214,2039.333333
6312,830
6313,1391.37
6314,1585
6315,1585
6316,3000
6317,1391.37
6318,560
6319,3000
6320,1168
6763,1527.5
6764,1527.5
6770,339.5
6771,939.63
6974,762.5
6975,722
6976,837.5
6977,722
7478,5325
7705,4706.75
7727,570
7728,637.5
7942,652
7943,656
7944,595.5
8649,382.5833333
8656,276
8661,3900
8687,4550
8691,3402.5
9036,800
9037,895
9038,765.25
9039,800
9040,800
9041,800
9067,3087
9068,807.5
9069,1214.75
9070,1067.25
9155,3643.75
9552,2278.166667
9786,6800
9877,3828.5
10150,492
10258,10500